代码,名称,"最新收盘价(元,CNY)","总市值(亿元,CNY)","流通市值(亿元,CNY)",交易状态,最新收盘价日期,上市日期,省份,证监会行业,Wind行业,证券类型,上市板,上市交易所
600988.SH,赤峰黄金,4.52,64.4724,64.47244,正常交易,2019-04-11,2004-04-14,内蒙古自治区,CSRC有色金属矿采选业,Wind材料Ⅱ,A股,主板,上海证券交易所
600990.SH,四创电子,57.83,92.0533,79.05479,正常交易,2019-04-11,2004-05-10,安徽省,CSRC计算机、通信和其他电子设备制造业,Wind资本货物,A股,主板,上海证券交易所
600992.SH,贵绳股份,9.53,23.3571,23.35708,正常交易,2019-04-11,2004-05-14,贵州省,CSRC金属制品业,Wind材料Ⅱ,A股,主板,上海证券交易所
600993.SH,马应龙,17.19,74.0982,73.95761,正常交易,2019-04-11,2004-05-17,湖北省,CSRC批发业,Wind制药、生物科技与生命科学,A股,主板,上海证券交易所
600995.SH,文山电力,8.87,42.4453,42.44529,正常交易,2019-04-11,2004-06-15,云南省,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,上海证券交易所
600996.SH,贵广网络,10.26,106.9675,30.57350,正常交易,2019-04-11,2016-12-26,贵州省,CSRC电信、广播电视和卫星传输服务,Wind媒体Ⅱ,A股,主板,上海证券交易所
600997.SH,开滦股份,6.83,108.4467,84.32591,正常交易,2019-04-11,2004-06-02,河北省,CSRC石油加工、炼焦及核燃料加工业,Wind能源Ⅱ,A股,主板,上海证券交易所
600998.SH,九州通,15.63,293.4788,259.46420,正常交易,2019-04-11,2010-11-02,湖北省,CSRC批发业,Wind食品与主要用品零售Ⅱ,A股,主板,上海证券交易所
600999.SH,招商证券,18.04,"1,128.8821",884.62739,正常交易,2019-04-11,2009-11-17,广东省,CSRC资本市场服务,Wind多元金融,A股,主板,上海证券交易所
601000.SH,唐山港,3.16,187.2593,176.13353,正常交易,2019-04-11,2010-07-05,河北省,CSRC水上运输业,Wind运输,A股,主板,上海证券交易所
601001.SH,大同煤业,5.13,85.8608,85.86081,正常交易,2019-04-11,2006-06-23,山西省,CSRC煤炭开采和洗选业,Wind能源Ⅱ,A股,主板,上海证券交易所
601002.SH,晋亿实业,8.09,64.1286,64.12862,正常交易,2019-04-11,2007-01-26,浙江省,CSRC通用设备制造业,Wind资本货物,A股,主板,上海证券交易所
601003.SH,柳钢股份,8.26,211.6867,211.68672,正常交易,2019-04-11,2007-02-27,广西壮族自治区,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ,A股,主板,上海证券交易所
601005.SH,重庆钢铁,2.25,194.7787,188.56069,正常交易,2019-04-11,2007-02-28,重庆,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ,A股,主板,上海证券交易所
601006.SH,大秦铁路,8.37,"1,244.3504","1,244.35045",正常交易,2019-04-11,2006-08-01,山西省,CSRC铁路运输业,Wind运输,A股,主板,上海证券交易所
601007.SH,金陵饭店,10.75,32.2500,32.25000,正常交易,2019-04-11,2007-04-06,江苏省,CSRC住宿业,Wind消费者服务Ⅱ,A股,主板,上海证券交易所
601008.SH,连云港,7.35,74.6183,74.61831,正常交易,2019-04-11,2007-04-26,江苏省,CSRC水上运输业,Wind运输,A股,主板,上海证券交易所
601009.SH,南京银行,8.76,743.0414,743.04141,正常交易,2019-04-11,2007-07-19,江苏省,CSRC货币金融服务,Wind银行,A股,主板,上海证券交易所
601010.SH,文峰股份,3.89,71.8872,71.88720,正常交易,2019-04-11,2011-06-03,江苏省,CSRC零售业,Wind零售业,A股,主板,上海证券交易所
601011.SH,宝泰隆,6.98,112.4464,111.62557,正常交易,2019-04-11,2011-03-09,黑龙江省,CSRC石油加工、炼焦及核燃料加工业,Wind能源Ⅱ,A股,主板,上海证券交易所
601012.SH,隆基股份,27.09,756.0264,753.57254,连续停牌超过3天,2019-04-11,2012-04-11,陕西省,CSRC非金属矿物制品业,Wind半导体与半导体生产设备,A股,主板,上海证券交易所
601015.SH,陕西黑猫,6.49,81.3641,72.82463,正常交易,2019-04-11,2014-11-05,陕西省,CSRC石油加工、炼焦及核燃料加工业,Wind能源Ⅱ,A股,主板,上海证券交易所
601016.SH,节能风电,3.21,133.3935,133.39348,正常交易,2019-04-11,2014-09-29,北京,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ,A股,主板,上海证券交易所
601018.SH,宁波港,4.67,615.1720,597.76000,正常交易,2019-04-11,2010-09-28,浙江省,CSRC水上运输业,Wind运输,A股,主板,上海证券交易所
601019.SH,山东出版,8.72,181.9777,37.22568,正常交易,2019-04-11,2017-11-22,山东省,CSRC新闻和出版业,Wind媒体Ⅱ,A股,主板,上海证券交易所
601020.SH,华钰矿业,11.81,62.1107,33.56178,正常交易,2019-04-11,2016-03-16,西藏自治区,CSRC有色金属矿采选业,Wind材料Ⅱ,A股,主板,上海证券交易所
601021.SH,春秋航空,41.39,379.5040,379.32392,正常交易,2019-04-11,2015-01-21,上海,CSRC航空运输业,Wind运输,A股,主板,上海证券交易所
601028.SH,玉龙股份,5.83,45.6504,45.65040,正常交易,2019-04-11,2011-11-07,江苏省,CSRC金属制品业,Wind材料Ⅱ,A股,主板,上海证券交易所
601038.SH,一拖股份,5.72,41.2178,33.97165,正常交易,2019-04-11,2012-08-08,河南省,CSRC专用设备制造业,Wind资本货物,A股,主板,上海证券交易所
601058.SH,赛轮轮胎,3.52,95.0914,76.00233,正常交易,2019-04-11,2011-06-30,山东省,CSRC橡胶和塑料制品业,Wind汽车与汽车零部件,A股,主板,上海证券交易所
601066.SH,中信建投,24.20,"1,619.2999",96.80000,正常交易,2019-04-11,2018-06-20,北京,CSRC资本市场服务,Wind多元金融,A股,主板,上海证券交易所
601068.SH,中铝国际,7.43,199.0675,21.98587,正常交易,2019-04-11,2018-08-31,北京,CSRC土木工程建筑业,Wind资本货物,A股,主板,上海证券交易所
601069.SH,西部黄金,14.90,94.7640,94.76400,正常交易,2019-04-11,2015-01-22,新疆维吾尔自治区,CSRC有色金属矿采选业,Wind材料Ⅱ,A股,主板,上海证券交易所
601086.SH,国芳集团,6.39,42.5574,10.60740,正常交易,2019-04-11,2017-09-29,甘肃省,CSRC零售业,Wind零售业,A股,主板,上海证券交易所
601088.SH,中国神华,19.88,"3,796.2052","3,278.41835",正常交易,2019-04-11,2007-10-09,北京,CSRC煤炭开采和洗选业,Wind能源Ⅱ,A股,主板,上海证券交易所
601098.SH,中南传媒,12.86,230.9656,230.96560,正常交易,2019-04-11,2010-10-28,湖南省,CSRC新闻和出版业,Wind媒体Ⅱ,A股,主板,上海证券交易所
601099.SH,太平洋,4.19,285.6037,271.46241,正常交易,2019-04-11,2007-12-28,云南省,CSRC资本市场服务,Wind多元金融,A股,主板,上海证券交易所
601100.SH,恒立液压,30.95,272.9790,272.97900,正常交易,2019-04-11,2011-10-28,江苏省,CSRC专用设备制造业,Wind资本货物,A股,主板,上海证券交易所
601101.SH,昊华能源,7.10,85.1999,85.19988,正常交易,2019-04-11,2010-03-31,北京,CSRC煤炭开采和洗选业,Wind能源Ⅱ,A股,主板,上海证券交易所
601106.SH,中国一重,3.96,271.5682,258.90480,正常交易,2019-04-11,2010-02-09,黑龙江省,CSRC专用设备制造业,Wind资本货物,A股,主板,上海证券交易所
601107.SH,四川成渝,4.88,125.8493,105.54171,正常交易,2019-04-11,2009-07-27,四川省,CSRC道路运输业,Wind运输,A股,主板,上海证券交易所
601108.SH,财通证券,12.60,452.2140,303.24327,正常交易,2019-04-11,2017-10-24,浙江省,CSRC资本市场服务,Wind多元金融,A股,主板,上海证券交易所
601111.SH,中国国航,10.75,"1,457.1625","1,015.73020",正常交易,2019-04-11,2006-08-18,北京,CSRC航空运输业,Wind运输,A股,主板,上海证券交易所
601113.SH,华鼎股份,8.34,96.8812,69.47637,正常交易,2019-04-11,2011-05-09,浙江省,CSRC化学纤维制造业,Wind材料Ⅱ,A股,主板,上海证券交易所
601116.SH,三江购物,13.43,73.5532,55.16491,正常交易,2019-04-11,2011-03-02,浙江省,CSRC零售业,Wind食品与主要用品零售Ⅱ,A股,主板,上海证券交易所
601117.SH,中国化学,6.72,331.4976,331.49760,正常交易,2019-04-11,2010-01-07,北京,CSRC土木工程建筑业,Wind资本货物,A股,主板,上海证券交易所
